작성일,제목,내용,추천수,카테고리
2024-10-07,'신용사면'을 통한 서민·소상공인 재기 지원,"코로나19 등으로 인해 불가피하게 빚을 갚지 못해 신용불량자가 된 서민과 소상공인들이 경제적으로 재기할 수 있도록, 소액 연체 기록을 삭제해주는 '신용사면' 조치를 시행해야 합니다.",145,경제
2025-07-24,'자살 유가족'을 위한 원스톱 지원 서비스 도입,"사랑하는 사람을 잃은 슬픔과 사회적 편견 속에서 고통받는 '자살 유가족'들이 일상을 회복할 수 있도록, 심리 상담, 법률·행정 처리, 사후 정리 등을 한 곳에서 지원하는 원스톱 서비스를 제공해야 합니다.",229,복지
2025-01-24,'특수교육 대상 학생' 지원 강화를 위한 '통합교육' 내실화,"장애 학생이 일반 학교에서 비장애 학생과 함께 교육받는 '통합교육'이 실효성을 거둘 수 있도록, 특수교사와 보조 인력을 충분히 배치하고, 모든 교사를 대상으로 한 장애 이해 교육을 강화해야 합니다.",105,교육
2024-12-06,'상생협력' 우수 기업에 대한 정부 지원 확대,"대기업이 중소 협력업체와 동반 성장하기 위해 노력하는 문화를 확산하기 위해, 협력업체에 기술 개발이나 판로 개척을 지원하는 등 '상생협력' 활동이 우수한 기업에 대해 정부 포상 및 세제 혜택을 확대해야 합니다.",155,경제
2024-12-18,'가정위탁' 아동 지원 확대를 통한 건강한 성장 지원,"친가정에서 자라기 어려운 아동들이 시설이 아닌 따뜻한 가정 환경에서 성장할 수 있도록, '가정위탁' 제도를 활성화하고, 위탁 부모에게 지급하는 양육 보조금을 현실화해야 합니다.",68,복지
2025-06-04,'수돗물' 불신 해소를 위한 '스마트 상수도' 관리 시스템 구축,"수돗물에 대한 국민의 불신을 해소하고 깨끗한 물을 안정적으로 공급하기 위해, 정보통신기술(ICT)을 활용하여 수질을 실시간으로 감시하고, 노후 상수관을 체계적으로 교체하는 '스마트 상수도' 시스템을 구축해야 합니다.",42,환경
2025-04-07,'선행학습' 유발하는 학교 시험 문제 출제 관행 개선,"학생들이 학교 수업만으로 충분히 시험을 준비할 수 있도록, 교육과정의 수준과 범위를 벗어나는 문제를 출제하여 사교육을 유발하는 일부 학교의 시험 출제 관행을 엄격히 금지하고 감독해야 합니다.",214,교육
2025-04-05,'국가교육위원회' 설립을 통한 교육 정책의 일관성 확보,"정권이 바뀔 때마다 교육 정책이 급변하여 학교 현장과 학생들이 혼란을 겪는 일을 막기 위해, 사회적 합의를 바탕으로 장기적인 교육 비전을 수립하는 초당파적 '국가교육위원회'를 설립해야 합니다.",150,교육
2025-03-01,'아동수당' 지급 연령 확대 및 보편적 복지 실현,"모든 아동의 건강한 성장을 지원하고 양육 가정의 경제적 부담을 덜어주기 위해, 현재 만 7세 미만까지 지급되는 '아동수당'의 지급 대상을 만 18세 미만까지 단계적으로 확대해야 합니다.",217,복지
2025-06-21,'청년내일채움공제' 개편을 통한 중소기업 장기근속 유도,"중소기업에 취업한 청년들의 목돈 마련을 돕고 장기근속을 유도하는 '청년내일채움공제'가 중단될 위기에 처해 있으므로, 지원 기간과 금액을 조정하여 제도를 지속 가능하도록 개편해야 합니다.",151,복지
2025-07-19,'인공지능(AI) 시대'에 대비한 미래 교육 혁신,"인공지능이 인간의 일자리를 대체하는 미래 사회에 대비하기 위해, 학생들이 정답을 찾는 능력보다는 창의적인 질문을 던지는 능력, 협업 능력, 비판적 사고력을 기를 수 있도록 교육 패러다임을 전환해야 합니다.",222,교육
2025-07-18,'전기차 화재' 대응 시스템 구축 및 안전 기준 강화,"전기차 보급 확대와 함께 증가하는 배터리 화재에 효과적으로 대응하기 위해, 지하 주차장 등에 전용 소화 장비를 설치하고, 배터리 안전성에 대한 기준을 강화하며, 화재 진압 기술을 개발해야 합니다.",289,교통
2024-08-24,'생태 면적률' 도입을 통한 친환경 도시 개발 유도,"도시를 개발할 때, 녹지나 투수성 포장 등 자연의 순환 기능을 가진 공간을 일정 비율 이상 확보하도록 의무화하는 '생태 면적률' 제도를 도입하여, 쾌적하고 지속가능한 도시를 만들어야 합니다.",107,환경
2024-10-26,'경력단절여성' 재취업 지원 강화,"출산과 육아로 인해 경력이 단절된 여성들이 다시 일터로 복귀할 수 있도록, '여성새로일하기센터'의 직업 교육 훈련을 4차 산업혁명 시대에 맞는 유망 직종 중심으로 개편하고, 인턴십을 지원해야 합니다.",32,복지
2025-03-19,'의료 사각지대' 해소를 위한 '공공병원' 확충,"수익성이 낮아 민간 병원이 기피하는 필수의료 서비스를 안정적으로 공급하고, 감염병 등 공중보건 위기 상황에 대응하기 위해, 모든 지역에 충분한 수의 '공공병원'을 설립하고 지원을 강화해야 합니다.",142,복지
2024-11-30,'청소년 노동인권' 교육 강화,"아르바이트 등 노동 현장에 일찍 뛰어드는 청소년들이 부당한 대우를 받지 않도록, 근로계약서 작성법, 주휴수당, 부당해고 대처법 등 기본적인 '노동인권' 교육을 학교에서 의무적으로 실시해야 합니다.",33,복지
2025-03-11,'지역인재' 의무 채용 확대를 통한 지방 소멸 위기 대응,"지방 대학을 졸업한 지역의 인재들이 수도권으로 유출되지 않고 지역에 정착할 수 있도록, 지역 내 공공기관과 기업이 지역인재를 의무적으로 채용하는 비율을 현재보다 상향 조정해야 합니다.",260,교육
2025-03-23,'노키즈존(No Kids Zone)' 확산에 대한 사회적 논의 필요,"아이들의 출입을 금지하는 '노키즈존'이 아동에 대한 차별이라는 주장과 업주의 영업 자유라는 주장이 맞서는 만큼, 무분별한 확산을 막고 상생의 해법을 찾기 위한 사회적 논의와 가이드라인 마련이 필요합니다.",199,복지
